x,sigxjminusxi
13.0,0.7362913
16.0,0.82479507
21.0,0.89177173
27.0,0.9562609
34.0,1.0219225
51.0,1.0607412
79.0,1.0944011
108.0,1.1292291
146.0,1.1635901
195.0,1.198422
258.0,1.2310582
335.0,1.2638593
431.0,1.2963854
546.0,1.3295343
689.0,1.3643737
859.0,1.3989085
1084.0,1.4299952
1359.0,1.462409
1704.0,1.4902868
2106.0,1.5379113
2585.0,1.5855358
3141.0,1.6331602
3758.0,1.6807847
4412.0,1.7272923
5120.0,1.7737553
5911.0,1.8202182
6830.0,1.8666811
7851.0,1.913144
8971.0,1.9596069
10155.0,2.00607
11430.0,2.052533
12804.0,2.1442971
14252.0,2.2360613
15797.0,2.3278255
17458.0,2.4195898
19221.0,2.511354
21109.0,2.6031182
1.0,0.0051390715
2.0,0.0107927555
3.0,0.016556513
4.0,0.022588765
5.0,0.028621018
6.0,0.035275944
7.0,0.043050658
8.0,0.050852947
10.0,0.058667332
12.0,0.06674113
16.0,0.07473357
20.0,0.08280939
24.0,0.09094039
28.0,0.099071406
36.0,0.10720242
44.0,0.11533342
60.0,0.123464435
82.0,0.13159545
104.0,0.13972646
134.0,0.1478567
186.0,0.15366456
259.0,0.15947242
370.0,0.16528028
491.0,0.17108816
619.0,0.17689602
763.0,0.18270388
927.0,0.18851174
1121.0,0.1943196
1333.0,0.20012747
1583.0,0.20593533
1833.0,0.21174319
2152.0,0.21755108
2515.0,0.22335894
2919.0,0.22912502
3357.0,0.23260975
3834.0,0.23840207
4352.0,0.2418868
4931.0,0.24537152
5553.0,0.24885625
6241.0,0.2523409
7002.0,0.25582564
7864.0,0.25931036
8818.0,0.26074886
9814.0,0.2642328
1.0,0.0029039325
2.0,0.005807865
3.0,0.008711797
4.0,0.01161573
5.0,0.014519663
6.0,0.019635212
7.0,0.024750762
8.0,0.030558363
9.0,0.036365964
10.0,0.042173732
12.0,0.04798156
15.0,0.053789422
18.0,0.059597284
21.0,0.065405145
24.0,0.07121301
29.0,0.07702088
34.0,0.082828745
39.0,0.08863661
46.0,0.09444447
53.0,0.10025233
60.0,0.10606019
67.0,0.11186805
75.0,0.117675915
87.0,0.1234838
99.0,0.12929167
120.0,0.13509953
141.0,0.14090739
166.0,0.14671525
226.0,0.15252312
286.0,0.15833098
366.0,0.16413884
446.0,0.16994673
562.0,0.17575459
697.0,0.18156245
861.0,0.18737032
1098.0,0.19317818
1384.0,0.19898604
1670.0,0.2047939
1998.0,0.21060176
2326.0,0.21640965
2716.0,0.22221752
3152.0,0.22802538
3632.0,0.23383324
4160.0,0.2396411
1.0,0.095339276
2.0,0.21720156
3.0,0.35235822
4.0,0.5200634
5.0,0.6904061
6.0,0.8625289
7.0,1.0374883
8.0,1.213869
9.0,1.392006
10.0,1.5705515
11.0,1.7491237
12.0,1.927706
13.0,2.1062942
14.0,2.2848823
15.0,2.4634705
16.0,2.6420588
18.0,2.8185298
20.0,2.9950008
22.0,3.1714718
24.0,3.3479428
27.0,3.5219188
42.0,3.6928082
57.0,3.8637443
106.0,4.019395
161.0,4.1750455
220.0,4.330696
280.0,4.4863467
347.0,4.6419973
427.0,4.797648
536.0,4.9532986
646.0,5.1112723
796.0,5.2692475
992.0,5.4272213
1188.0,5.5874767
1444.0,5.731864
1729.0,5.8712525
2023.0,6.0130887
2350.0,6.152478
2716.0,6.3150983
3118.0,6.4963045
3574.0,6.67751
4069.0,6.856168
4605.0,7.0338883
5181.0,7.211609
2.0,0.018717177
12.0,0.01879132
24.0,0.018804336
47.0,0.018805394
80.0,0.018805394
118.0,0.018806452
160.0,0.022275623
211.0,0.025760341
266.0,0.02924506
325.0,0.032729782
389.0,0.036214646
459.0,0.043073762
535.0,0.04783023
624.0,0.053638097
728.0,0.058299936
851.0,0.06294623
997.0,0.06991567
1171.0,0.076885104
1357.0,0.08385454
1554.0,0.09082398
1766.0,0.097793415
1989.0,0.10476285
2232.0,0.11173229
2491.0,0.11870173
2768.0,0.12567118
3072.0,0.16400309
3405.0,0.202335
3766.0,0.24066691
4143.0,0.27899882
4526.0,0.31733072
4926.0,0.3556626
5335.0,0.3939945
5751.0,0.4323264
6184.0,0.4706583
6630.0,0.5089902
7097.0,0.54732215
7572.0,0.5856541
8066.0,0.623986
8584.0,0.66231793
9123.0,0.70297295
9671.0,0.743628
10233.0,0.7842831
10817.0,0.8249382
11426.0,0.86559325
4.0,0.004197114
8.0,0.01590186
12.0,0.03725263
19.0,0.041990664
26.0,0.059214666
49.0,0.065814756
90.0,0.06782278
141.0,0.07129195
193.0,0.074904084
260.0,0.08008716
352.0,0.08589499
446.0,0.091702856
573.0,0.09751072
736.0,0.10331858
923.0,0.10914977
1124.0,0.11844236
1342.0,0.1300163
1584.0,0.14162992
1848.0,0.15905352
2141.0,0.17763868
2472.0,0.19622386
2818.0,0.21480903
3177.0,0.2333942
3576.0,0.25197935
3998.0,0.27056453
4455.0,0.2891497
4940.0,0.31121957
5443.0,0.34142047
5974.0,0.3718983
6523.0,0.40442234
7100.0,0.4369464
7693.0,0.46947044
8311.0,0.5019945
8946.0,0.53451854
9607.0,0.5670426
10282.0,0.59956664
10967.0,0.6367368
11680.0,0.68264586
12427.0,0.7244625
13227.0,0.7662791
14073.0,0.812742
14951.0,0.8719822
15845.0,0.93122244
16774.0,0.99046266
2.0,0.027926851
5.0,0.054179266
11.0,0.067827456
17.0,0.08581081
31.0,0.091708556
57.0,0.095956
83.0,0.12271437
116.0,0.15175375
162.0,0.1817779
211.0,0.2116179
278.0,0.2394957
345.0,0.28504342
429.0,0.31904164
524.0,0.35391968
640.0,0.38876688
764.0,0.42361408
896.0,0.4724012
1042.0,0.52229375
1204.0,0.57224137
1383.0,0.622189
1597.0,0.6715558
1827.0,0.7238475
2089.0,0.77643067
2409.0,0.8252168
2765.0,0.87748754
3161.0,0.9309199
3587.0,0.99248326
4033.0,1.0540466
4498.0,1.1190947
4992.0,1.1841428
5518.0,1.2491909
6082.0,1.314239
6677.0,1.3792871
7293.0,1.4443352
7926.0,1.5105449
8588.0,1.5767546
9283.0,1.6383182
9998.0,1.7004354
10733.0,1.7666451
11483.0,1.8340161
12244.0,1.9130031
13011.0,1.9919901
13783.0,2.0733001
14567.0,2.1557717
1.0,0.07318347
4.0,0.13345554
7.0,0.21740125
12.0,0.2602449
18.0,0.31429744
25.0,0.4008898
32.0,0.5051656
41.0,0.6099177
51.0,0.71169364
61.0,0.81357956
72.0,0.9052796
84.0,0.9968084
96.0,1.0899323
108.0,1.1935313
122.0,1.2717991
141.0,1.3202405
160.0,1.3686819
192.0,1.4139832
230.0,1.4592845
279.0,1.5045859
336.0,1.5498872
401.0,1.5951885
482.0,1.6404898
587.0,1.6915991
715.0,1.7427083
921.0,1.7938175
1175.0,1.8449267
1490.0,1.8960359
1872.0,1.9471451
2314.0,1.9982543
2809.0,2.0493636
3395.0,2.100473
4052.0,2.1515822
4765.0,2.2026916
5555.0,2.2526393
6422.0,2.3014257
7385.0,2.3503501
8396.0,2.4061058
9475.0,2.4618614
10601.0,2.5164547
11783.0,2.5710487
13005.0,2.6256428
14287.0,2.6802368
15630.0,2.8068483
1.0,0.23765996
4.0,0.4372468
8.0,0.6117067
12.0,0.7946409
19.0,0.91411936
26.0,1.1781669
33.0,1.4910276
42.0,1.8027728
73.0,1.8719213
118.0,1.9360946
164.0,2.044115
237.0,2.1329741
310.0,2.2432141
399.0,2.3549151
498.0,2.4687414
597.0,2.5837374
787.0,2.6778247
1015.0,2.7719355
1346.0,2.8567302
1677.0,2.9542189
2064.0,3.047365
2482.0,3.144937
2900.0,3.2425091
3395.0,3.3400755
3925.0,3.4353662
4549.0,3.530615
5244.0,3.625864
5987.0,3.7269208
6808.0,3.857017
7700.0,3.9871132
8666.0,4.1172094
9727.0,4.2565975
10883.0,4.395986
12095.0,4.5353746
13409.0,4.6747246
14824.0,4.814113
16368.0,4.955825
17981.0,5.0952134
19654.0,5.245056
21389.0,5.3949003
23144.0,5.544743
24976.0,5.694586
26860.0,5.8444285
28815.0,5.9942713
2.0,0.023037972
4.0,0.056309327
6.0,0.09724817
10.0,0.119596444
17.0,0.13454805
26.0,0.15277351
35.0,0.17976639
48.0,0.19954339
61.0,0.22267462
80.0,0.24130793
110.0,0.2598542
142.0,0.2796009
181.0,0.29930586
231.0,0.3190526
289.0,0.33879936
362.0,0.35854608
447.0,0.3794335
550.0,0.40034184
681.0,0.42066938
848.0,0.44041625
1035.0,0.46021807
1261.0,0.4811055
1522.0,0.5017014
1822.0,0.52260935
2165.0,0.54351765
2573.0,0.56326437
3020.0,0.5969184
3512.0,0.630604
4037.0,0.666571
4622.0,0.7025798
5245.0,0.7385886
5923.0,0.7745973
6656.0,0.81060606
7400.0,0.84661484
8217.0,0.8826236
9112.0,0.9186324
10092.0,0.95464116
11282.0,0.99064994
12592.0,1.0324665
14002.0,1.0742831
15460.0,1.1160997
16972.0,1.1579163
18551.0,1.2008945
20203.0,1.2438726
2.0,0.29615307
4.0,0.79763985
6.0,1.4285371
8.0,2.0877178
10.0,2.8009386
12.0,3.5373523
14.0,4.2892017
17.0,5.005357
20.0,5.7644134
23.0,6.5365763
26.0,7.3181276
29.0,8.102154
32.0,8.890146
35.0,9.684306
38.0,10.482355
41.0,11.280739
44.0,12.080048
47.0,12.879357
50.0,13.678667
53.0,14.477977
56.0,15.278629
76.0,15.778114
138.0,16.269459
293.0,16.728283
522.0,17.176651
844.0,17.571587
1297.0,17.92009
1952.0,18.240685
2840.0,18.513655
3968.0,18.729708
5662.0,18.943438
7698.0,19.147873
