2025-05-25 12:27:17,125 - INFO - A new study created in Journal with name: model-population-mpnn-population_mpnn_ic20_s5_pd_seed
2025-05-25 12:34:44,584 - INFO - Trial 0 finished with value: 0.04149721935391426 and parameters: {'lr': 0.0028057582076672534, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 16, 'af_g_net': 'tanh', 'drop_p_g_net': 0.016730402817820244, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 8, 'af_h_net': 'relu', 'drop_p_h_net': 0.0004705059281907648}. Best is trial 0 with value: 0.04149721935391426.
2025-05-25 15:26:55,635 - INFO - Trial 18 finished with value: 0.011702134273946285 and parameters: {'lr': 0.007129892679216654, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.005383448696549657, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.016098174537293033}. Best is trial 12 with value: 0.008831456303596497.
2025-05-25 15:38:55,314 - INFO - Trial 19 finished with value: 0.014564773999154568 and parameters: {'lr': 0.00384290474087667, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0005073898745243696, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'softplus', 'drop_p_h_net': 0.12437938380406142}. Best is trial 12 with value: 0.008831456303596497.
2025-05-25 15:46:26,462 - INFO - Trial 20 finished with value: 0.034398578107357025 and parameters: {'lr': 0.0018265618026664116, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.049982520969856184, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.003229217843152723}. Best is trial 12 with value: 0.008831456303596497.
2025-05-25 15:58:18,512 - INFO - Trial 21 finished with value: 0.00896507315337658 and parameters: {'lr': 0.004366104179760562, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.00858204895768426, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'softplus', 'drop_p_h_net': 0.007613512039035519}. Best is trial 12 with value: 0.008831456303596497.
2025-05-25 16:07:59,786 - INFO - Trial 22 finished with value: 0.011254177428781986 and parameters: {'lr': 0.010998101150111479, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.009001583544305962, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'softplus', 'drop_p_h_net': 0.014265974695449117}. Best is trial 12 with value: 0.008831456303596497.
2025-05-25 16:19:43,638 - INFO - Trial 23 finished with value: 0.01262726355344057 and parameters: {'lr': 0.00342645643570633, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.013302141640598708, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'softplus', 'drop_p_h_net': 0.03892203278936685}. Best is trial 12 with value: 0.008831456303596497.
2025-05-25 16:28:37,540 - INFO - Trial 24 finished with value: 0.009528801776468754 and parameters: {'lr': 0.005551629335645715, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.003970095566283347, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0026468023663322056}. Best is trial 12 with value: 0.008831456303596497.
2025-05-25 16:40:24,378 - INFO - Trial 25 finished with value: 0.009275826625525951 and parameters: {'lr': 0.0028140834091976287, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.0026330968187554963, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'softplus', 'drop_p_h_net': 0.008103440311594889}. Best is trial 12 with value: 0.008831456303596497.
2025-05-25 16:50:04,912 - INFO - Trial 26 finished with value: 0.015066764317452908 and parameters: {'lr': 0.007840267900454787, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.0007743157155070579, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'softplus', 'drop_p_h_net': 0.08157230505460664}. Best is trial 12 with value: 0.008831456303596497.
2025-05-25 16:56:21,078 - INFO - Trial 27 finished with value: 0.015658706426620483 and parameters: {'lr': 0.002176068976589487, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.03141070998459672, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0003511486711071915}. Best is trial 12 with value: 0.008831456303596497.
2025-05-25 17:08:00,920 - INFO - Trial 28 finished with value: 0.009190915152430534 and parameters: {'lr': 0.0012291013559313228, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'softplus', 'drop_p_g_net': 0.010973103245601565, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0017275222278637897}. Best is trial 12 with value: 0.008831456303596497.
2025-05-25 17:21:35,669 - INFO - Trial 29 finished with value: 0.18985572457313538 and parameters: {'lr': 0.004364298440871781, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 24, 'af_g_net': 'tanh', 'drop_p_g_net': 0.4936388099679684, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 48, 'af_h_net': 'relu', 'drop_p_h_net': 0.022662309537323396}. Best is trial 12 with value: 0.008831456303596497.
