2025-07-07 09:20:27,151 - INFO - A new study created in Journal with name: model-kuramoto-mpnn-kuramoto_mpnn_ic1_s5_pd_mult_noise_70db_2
2025-07-07 13:15:07,995 - INFO - Trial 25 finished with value: 2.226943254470825 and parameters: {'lr': 0.0012074831558713981, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0003982460880279745, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 8, 'af_h_net': 'softplus', 'drop_p_h_net': 0.02841549033687128}. Best is trial 18 with value: 2.2261106967926025.
2025-07-07 13:26:49,282 - INFO - Trial 26 finished with value: 2.2364501953125 and parameters: {'lr': 0.0005067738918622389, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 24, 'af_g_net': 'softplus', 'drop_p_g_net': 0.00017800302533632972, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'softplus', 'drop_p_h_net': 0.003260788726391906}. Best is trial 18 with value: 2.2261106967926025.
2025-07-07 13:38:16,294 - INFO - Trial 27 finished with value: 2.2268130779266357 and parameters: {'lr': 0.0014638970919072939, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'softplus', 'drop_p_g_net': 0.013298385785978237, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 40, 'af_h_net': 'softplus', 'drop_p_h_net': 0.2609582902121372}. Best is trial 18 with value: 2.2261106967926025.
2025-07-07 13:49:57,426 - INFO - Trial 28 finished with value: 2.2264833450317383 and parameters: {'lr': 0.0007377772059054629, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'softplus', 'drop_p_g_net': 0.003722424476797358, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.09364092905718081}. Best is trial 18 with value: 2.2261106967926025.
2025-07-07 13:56:26,301 - INFO - Trial 29 finished with value: 2.247791290283203 and parameters: {'lr': 0.0024249035583056968, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'tanh', 'drop_p_g_net': 0.4936388099679684, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 8, 'af_h_net': 'relu', 'drop_p_h_net': 0.010109788692839846}. Best is trial 18 with value: 2.2261106967926025.
2025-07-07 14:05:35,990 - INFO - Trial 30 finished with value: 2.229193925857544 and parameters: {'lr': 0.0040785475578330255, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 8, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0007109598987851574, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.08391645795295787}. Best is trial 18 with value: 2.2261106967926025.
2025-07-07 14:17:18,337 - INFO - Trial 31 finished with value: 2.2263050079345703 and parameters: {'lr': 0.0007927912806143335, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'softplus', 'drop_p_g_net': 0.003955555256272835, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.08322273410957776}. Best is trial 18 with value: 2.2261106967926025.
2025-07-07 14:26:57,180 - INFO - Trial 32 finished with value: 2.2356491088867188 and parameters: {'lr': 0.0007809374015891349, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'softplus', 'drop_p_g_net': 0.014461519747687562, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.00010229836880434798}. Best is trial 18 with value: 2.2261106967926025.
2025-07-07 14:38:21,972 - INFO - Trial 33 finished with value: 2.2318406105041504 and parameters: {'lr': 0.001362544338544889, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 16, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0014217114111574128, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 8, 'af_h_net': 'softplus', 'drop_p_h_net': 0.030924252190741294}. Best is trial 18 with value: 2.2261106967926025.
2025-07-07 14:49:46,532 - INFO - Trial 34 finished with value: 2.2261946201324463 and parameters: {'lr': 0.0022514015625238297, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'softplus', 'drop_p_g_net': 0.00026830166592576953, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 24, 'af_h_net': 'softplus', 'drop_p_h_net': 0.20669863709527497}. Best is trial 18 with value: 2.2261106967926025.
