x,sigxjminusxi
156.0,2.4614391
166.0,2.6309123
176.0,2.8003855
189.0,2.9698586
205.0,3.1393323
223.0,3.3088055
242.0,3.4782786
262.0,3.6477518
286.0,3.817225
314.0,3.9866982
345.0,4.1561713
378.0,4.2873764
413.0,4.4568505
449.0,4.6263237
485.0,4.795797
525.0,4.96527
577.0,5.134743
630.0,5.3042164
684.0,5.4736896
738.0,5.6431627
805.0,5.812637
884.0,5.98211
972.0,6.151583
1068.0,6.3210564
1176.0,6.4905295
1.0,0.041637883
5.0,0.06975222
10.0,0.09808118
15.0,0.1298746
39.0,0.14987749
63.0,0.16988043
97.0,0.19310454
141.0,0.21533951
215.0,0.23447359
301.0,0.25360766
427.0,0.27274173
592.0,0.2918758
786.0,0.31100988
1008.0,0.33014396
1258.0,0.34927803
1540.0,0.36841217
1853.0,0.38754624
2194.0,0.40668032
2563.0,0.4258144
2946.0,0.44494846
3343.0,0.46408254
3754.0,0.4832166
4807.0,0.50098395
6501.0,0.5187514
8195.0,0.53651875
9889.0,0.5542861
11583.0,0.5720535
13277.0,0.58982086
14971.0,0.60758823
16986.0,0.6253556
19321.0,0.643123
22051.0,0.6608903
25176.0,0.67865765
28698.0,0.696425
32617.0,0.7141924
36932.0,0.73195976
41247.0,0.74972713
45562.0,0.7674945
50313.0,0.78526187
55499.0,0.798929
60685.0,0.8125962
65871.0,0.8303636
71057.0,0.84813094
76756.0,0.86179817
1.0,0.026963282
2.0,0.057614803
3.0,0.090207666
4.0,0.12480149
5.0,0.16067237
6.0,0.19654325
14.0,0.22222447
22.0,0.24794814
31.0,0.28111547
41.0,0.3140866
65.0,0.34649897
93.0,0.37330532
123.0,0.40011168
155.0,0.42691803
190.0,0.4524965
227.0,0.47807497
266.0,0.5030648
305.0,0.52987117
344.0,0.56046706
385.0,0.5928794
428.0,0.62553656
477.0,0.65931547
532.0,0.69250596
592.0,0.72446865
652.0,0.75824773
712.0,0.7922682
779.0,0.8186248
846.0,0.85279274
918.0,0.8869606
994.0,0.9197618
1074.0,0.9525629
1157.0,0.98673093
1243.0,1.0208989
1329.0,1.055067
1415.0,1.089235
1504.0,1.123403
1596.0,1.157571
1691.0,1.191739
1796.0,1.225907
1911.0,1.260075
2031.0,1.294243
2156.0,1.328411
2281.0,1.362579
2406.0,1.396747
1.0,0.06384808
2.0,0.13530004
3.0,0.20839804
5.0,0.27787206
8.0,0.3453797
11.0,0.41288736
16.0,0.48453897
21.0,0.55649334
36.0,0.60845935
61.0,0.6603947
88.0,0.7126542
115.0,0.7695853
144.0,0.82651645
175.0,0.8834476
208.0,0.94140196
243.0,0.99935627
279.0,1.0578011
317.0,1.1147323
357.0,1.1685054
401.0,1.2207649
448.0,1.2728233
500.0,1.3305361
557.0,1.3887529
618.0,1.4479932
681.0,1.5057195
745.0,1.5632447
809.0,1.6271565
888.0,1.6845587
971.0,1.7419611
1058.0,1.7938966
1149.0,1.845832
1251.0,1.9032342
1363.0,1.9606365
1490.0,2.0180387
1631.0,2.075441
1787.0,2.132843
1958.0,2.190244
2143.0,2.2435734
2344.0,2.2973642
2561.0,2.353664
2796.0,2.4110649
3048.0,2.468467
3336.0,2.5256257
3660.0,2.5761943
2.0,0.14286222
4.0,0.2930167
6.0,0.44403547
8.0,0.60228026
10.0,0.76537055
12.0,0.9295876
14.0,1.0969273
16.0,1.2655181
18.0,1.437871
20.0,1.6104276
22.0,1.7829951
24.0,1.955564
26.0,2.1369753
28.0,2.3234046
30.0,2.509961
32.0,2.6965182
34.0,2.8830755
36.0,3.0696328
38.0,3.25619
40.0,3.4427474
42.0,3.6397257
44.0,3.8434577
49.0,4.030015
57.0,4.1961603
65.0,4.3623056
73.0,4.528451
81.0,4.6945963
89.0,4.8607416
97.0,5.026887
105.0,5.1930323
113.0,5.4000015
128.0,5.603734
150.0,5.7731166
179.0,5.9372344
349.0,6.099939
659.0,6.2571115
1073.0,6.414284
1591.0,6.571457
2133.0,6.7286296
2699.0,6.885803
3288.0,7.042976
3970.0,7.2001386
4744.0,7.3272433
5518.0,7.484416
2.0,0.077273466
4.0,0.15783052
6.0,0.23851046
8.0,0.32203525
10.0,0.4095758
12.0,0.49756393
14.0,0.59023607
16.0,0.68432045
18.0,0.7802528
20.0,0.87628055
22.0,0.9723127
24.0,1.0683454
26.0,1.1732204
28.0,1.2831132
30.0,1.3931333
32.0,1.5031543
34.0,1.6131753
36.0,1.7231963
38.0,1.8332173
40.0,1.9432383
43.0,2.042838
47.0,2.1356845
52.0,2.2457054
57.0,2.3761382
62.0,2.506571
67.0,2.637004
72.0,2.7674367
77.0,2.8978696
82.0,3.0283024
87.0,3.1587353
98.0,3.2483444
115.0,3.3411908
135.0,3.4683864
158.0,3.6008468
181.0,3.7334187
204.0,3.8659906
227.0,3.9985626
273.0,4.1311345
341.0,4.263706
409.0,4.3962774
477.0,4.528849
560.0,4.661421
658.0,4.7939925
770.0,4.926564
1.0,0.10747284
2.0,0.21933892
3.0,0.3312952
4.0,0.4439355
5.0,0.55815053
6.0,0.6724636
7.0,0.7879877
8.0,0.90377074
9.0,1.0205314
10.0,1.1373434
11.0,1.2541564
12.0,1.3709694
15.0,1.4700981
22.0,1.5591911
34.0,1.6480296
48.0,1.7368665
64.0,1.8257033
83.0,1.91454
122.0,2.0033402
215.0,2.0634758
362.0,2.1236115
559.0,2.183747
806.0,2.2438827
1103.0,2.3040187
1502.0,2.3436537
2003.0,2.3832886
2692.0,2.4229236
3568.0,2.4611917
4503.0,2.4994597
5496.0,2.5377278
6547.0,2.575996
7685.0,2.614264
8909.0,2.652532
10216.0,2.6908002
11523.0,2.7290683
13002.0,2.7673364
14653.0,2.8056045
16476.0,2.8438725
18444.0,2.8821406
20556.0,2.9204092
22712.0,2.9586773
24911.0,2.9969454
27189.0,3.0352135
29546.0,3.0734816
4.0,0.12791094
8.0,0.3497188
12.0,0.578952
17.0,0.75315285
23.0,0.89508593
30.0,1.0214201
37.0,1.1484895
45.0,1.2705827
56.0,1.3949919
67.0,1.7181714
80.0,2.0426106
95.0,2.363112
115.0,2.6709435
137.0,2.9914446
163.0,3.3158813
193.0,3.6363823
231.0,3.9439383
276.0,4.2514505
328.0,4.5589685
389.0,4.889731
458.0,5.2382383
537.0,5.5711026
626.0,5.901849
722.0,6.2325954
824.0,6.5633407
932.0,6.9118342
1057.0,7.2446795
1199.0,7.5754256
1373.0,7.906172
1561.0,8.236918
1793.0,8.567665
2068.0,8.898411
2386.0,9.229157
2736.0,9.559904
3118.0,9.890651
3569.0,10.203673
4088.0,10.53442
4681.0,10.865165
5347.0,11.00457
6086.0,11.143974
6909.0,11.28338
7815.0,11.422785
8813.0,11.56219
9902.0,11.701595
4.0,1.109771
16.0,1.6200528
36.0,1.6815491
76.0,1.6815495
140.0,1.6815495
231.0,1.6815495
340.0,1.6815526
481.0,2.191339
641.0,2.7011256
867.0,3.2109122
1153.0,3.7206988
1556.0,4.2304854
2198.0,4.740272
3094.0,5.2500587
3990.0,5.7598453
5629.0,5.7598453
7883.0,5.7598453
10415.0,5.7598453
13015.0,5.7598453
16024.0,5.7598453
19376.0,5.7598453
23674.0,5.7598453
28388.0,5.7598453
33102.0,5.7598453
37816.0,5.7598453
42939.0,5.7598453
48408.0,5.7598453
54118.0,5.7598453
59882.0,5.7598453
66434.0,5.7598453
72986.0,5.7598453
79538.0,5.7598453
86302.0,5.7598453
93066.0,5.7598453
100412.0,5.7598453
108339.0,5.7598453
116616.0,5.7598453
125242.0,5.7598453
134217.0,5.7598453
143731.0,5.7598453
153784.0,5.7598453
164338.0,5.7598453
175392.0,5.7598453
187167.0,5.7598453
