x,y
-0.41635516,0.28651822
-0.41622084,0.28636584
-0.41520673,0.28521663
-0.41508842,0.28508276
-0.4145253,0.28444594
-0.41419923,0.2840776
-0.41390747,0.28374827
-0.41382635,0.28365672
-0.41348055,0.28326672
-0.41256896,0.28224012
-0.412185,0.2818084
-0.41184974,0.28143173
-0.41176182,0.281333
-0.41131616,0.2808329
-0.4112133,0.28071752
-0.41074762,0.2801956
-0.4105454,0.27996913
-0.41041118,0.27981883
-0.41017824,0.27955818
-0.41006804,0.27943492
-0.4100506,0.27941543
-0.40882435,0.278046
-0.4083469,0.27751386
-0.40817893,0.27732682
-0.40791613,0.27703428
-0.4076068,0.27669019
-0.40758526,0.27666622
-0.4067618,0.27575147
-0.40676126,0.27575088
-0.40673494,0.27572167
-0.406734,0.2757206
-0.40668055,0.27566132
-0.40667993,0.2756606
-0.40665078,0.27562827
-0.4066017,0.27557382
-0.40659624,0.27556777
-0.40649796,0.27545875
-0.406483,0.27544215
-0.4063701,0.27531695
-0.4063506,0.27529535
-0.4063396,0.27528316
-0.40621927,0.2751498
-0.40618718,0.2751142
-0.4061653,0.27508992
-0.40604603,0.2749578
-0.40595937,0.2748618
-0.4058509,0.27474165
-0.405721,0.27459782
-0.40563434,0.2745019
-0.40539682,0.2742391
-0.40513867,0.27395356
-0.40512043,0.2739334
-0.40496218,0.2737585
-0.4048606,0.27364624
-0.40463412,0.2733961
-0.40456274,0.27331728
-0.40448537,0.27323186
-0.40424573,0.2729674
-0.404203,0.27292025
-0.40390992,0.27259707
-0.40389466,0.27258027
-0.4038065,0.27248305
-0.4035558,0.27220684
-0.40328127,0.27190456
-0.40318382,0.2717973
-0.4027943,0.27136883
-0.40267324,0.27123576
-0.40238777,0.27092203
-0.40223,0.2707488
-0.40222645,0.27074492
-0.4020915,0.27059677
-0.4020899,0.27059498
-0.40196455,0.27045745
-0.40189555,0.2703817
-0.40160805,0.27006638
-0.40154576,0.2699981
-0.4015251,0.26997542
-0.40145612,0.26989985
-0.40138334,0.26982006
-0.40136763,0.26980287
-0.40118098,0.26959836
-0.4010697,0.26947647
-0.40080154,0.26918292
-0.40059873,0.26896107
-0.40040752,0.26875192
-0.4002576,0.26858807
-0.4002433,0.26857245
-0.40011257,0.26842958
-0.39999944,0.26830602
-0.39994243,0.26824373
-0.39961153,0.2678825
-0.39957744,0.26784527
-0.3991419,0.2673703
-0.39909607,0.26732033
-0.3990347,0.26725346
-0.39869308,0.2668813
-0.39858747,0.2667663
-0.39856637,0.26674336
-0.39844584,0.26661217
-0.3983009,0.26645443
-0.39829648,0.26644963
-0.3982845,0.2664366
-0.39823127,0.26637873
-0.39811695,0.26625437
-0.39802295,0.26615214
-0.39783025,0.26594272
-0.39775673,0.2658628
-0.39771456,0.265817
-0.397466,0.2655471
-0.3972698,0.26533407
-0.39689606,0.26492867
