2025-07-14 09:03:27,339 - INFO - A new study created in Journal with name: model-real-epid-gkan-real_epid_gkan_7
2025-07-14 09:16:19,284 - INFO - Trial 21 finished with value: 0.17326387763023376 and parameters: {'lr': 0.030558070416046353, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 0.0309632176524626, 'lamb_h_net': 0.0001264491217382841, 'grid_size_g_net': 14, 'spline_order_g_net': 2, 'range_limit_g_net': 5, 'mu_1_g_net': 0.4, 'mu_2_g_net': 0.30000000000000004, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 4, 'grid_size_h_net': 5, 'spline_order_h_net': 3, 'range_limit_h_net': 4, 'mu_1_h_net': 0.2, 'mu_2_h_net': 0.4, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 6}. Best is trial 7 with value: 0.16654053330421448.
2025-07-14 09:16:48,166 - INFO - Trial 22 finished with value: 0.1651669442653656 and parameters: {'lr': 0.03798603931629291, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 0.006706519458113948, 'lamb_h_net': 3.329343276938284e-05, 'grid_size_g_net': 16, 'spline_order_g_net': 2, 'range_limit_g_net': 5, 'mu_1_g_net': 0.5, 'mu_2_g_net': 0.4, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 4, 'grid_size_h_net': 6, 'spline_order_h_net': 3, 'range_limit_h_net': 4, 'mu_1_h_net': 0.30000000000000004, 'mu_2_h_net': 0.4, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 6}. Best is trial 22 with value: 0.1651669442653656.
2025-07-14 09:17:24,555 - INFO - Trial 23 finished with value: 0.16996194422245026 and parameters: {'lr': 0.04568826626720874, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 0.7569577301258267, 'lamb_h_net': 0.0017287094743049008, 'grid_size_g_net': 13, 'spline_order_g_net': 2, 'range_limit_g_net': 5, 'mu_1_g_net': 0.30000000000000004, 'mu_2_g_net': 0.30000000000000004, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 4, 'grid_size_h_net': 7, 'spline_order_h_net': 3, 'range_limit_h_net': 4, 'mu_1_h_net': 0.1, 'mu_2_h_net': 0.30000000000000004, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 6}. Best is trial 22 with value: 0.1651669442653656.
2025-07-14 09:17:43,409 - INFO - Trial 24 finished with value: 0.3232499361038208 and parameters: {'lr': 0.04839947072979645, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 0.8744694543589187, 'lamb_h_net': 0.003393924414105639, 'grid_size_g_net': 12, 'spline_order_g_net': 2, 'range_limit_g_net': 5, 'mu_1_g_net': 0.2, 'mu_2_g_net': 0.4, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 5, 'grid_size_h_net': 7, 'spline_order_h_net': 3, 'range_limit_h_net': 4, 'mu_1_h_net': 0.1, 'mu_2_h_net': 0.30000000000000004, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 6}. Best is trial 22 with value: 0.1651669442653656.
2025-07-14 09:18:12,186 - INFO - Trial 25 finished with value: 0.17503543198108673 and parameters: {'lr': 0.019220632454269616, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 0.965330597849352, 'lamb_h_net': 0.00043491464020646266, 'grid_size_g_net': 13, 'spline_order_g_net': 2, 'range_limit_g_net': 4, 'mu_1_g_net': 0.30000000000000004, 'mu_2_g_net': 0.2, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 4, 'grid_size_h_net': 7, 'spline_order_h_net': 2, 'range_limit_h_net': 5, 'mu_1_h_net': 0.30000000000000004, 'mu_2_h_net': 0.30000000000000004, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 6}. Best is trial 22 with value: 0.1651669442653656.
2025-07-14 09:18:32,491 - INFO - Trial 26 finished with value: 0.1750611513853073 and parameters: {'lr': 0.03809102282233192, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 0.21249915874692268, 'lamb_h_net': 1.525991282702483e-05, 'grid_size_g_net': 15, 'spline_order_g_net': 1, 'range_limit_g_net': 5, 'mu_1_g_net': 0.2, 'mu_2_g_net': 0.2, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 5, 'grid_size_h_net': 10, 'spline_order_h_net': 3, 'range_limit_h_net': 3, 'mu_1_h_net': 0.1, 'mu_2_h_net': 0.30000000000000004, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 5}. Best is trial 22 with value: 0.1651669442653656.
2025-07-14 09:19:03,915 - INFO - Trial 27 finished with value: 0.24282263219356537 and parameters: {'lr': 0.019609094024853297, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 0.0001804691128707397, 'lamb_h_net': 0.0009370910710934797, 'grid_size_g_net': 16, 'spline_order_g_net': 3, 'range_limit_g_net': 4, 'mu_1_g_net': 0.5, 'mu_2_g_net': 0.5, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 3, 'grid_size_h_net': 7, 'spline_order_h_net': 2, 'range_limit_h_net': 4, 'mu_1_h_net': 0.30000000000000004, 'mu_2_h_net': 0.5, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 4}. Best is trial 22 with value: 0.1651669442653656.
2025-07-14 09:19:57,838 - INFO - Trial 28 finished with value: 0.19336389005184174 and parameters: {'lr': 0.0013509699339094479, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 8.436040963162118e-06, 'lamb_h_net': 3.009880840764898e-06, 'grid_size_g_net': 11, 'spline_order_g_net': 2, 'range_limit_g_net': 3, 'mu_1_g_net': 0.30000000000000004, 'mu_2_g_net': 0.4, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 4, 'grid_size_h_net': 9, 'spline_order_h_net': 3, 'range_limit_h_net': 5, 'mu_1_h_net': 0.2, 'mu_2_h_net': 0.2, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 6}. Best is trial 22 with value: 0.1651669442653656.
2025-07-14 09:20:55,339 - INFO - Trial 29 finished with value: 0.19501684606075287 and parameters: {'lr': 0.004583079799643975, 'lamb': 1.0, 'batch_size': 32, 'use_orig_reg': True, 'lamb_g_net': 0.00021162316163743657, 'lamb_h_net': 5.067650656065576e-06, 'grid_size_g_net': 15, 'spline_order_g_net': 3, 'range_limit_g_net': 4, 'mu_1_g_net': 0.2, 'mu_2_g_net': 0.1, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 5, 'grid_size_h_net': 6, 'spline_order_h_net': 1, 'range_limit_h_net': 1, 'mu_1_h_net': 0.5, 'mu_2_h_net': 0.6, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 5}. Best is trial 22 with value: 0.1651669442653656.
2025-07-14 09:21:13,448 - INFO - Trial 30 finished with value: 0.17073865234851837 and parameters: {'lr': 0.02218281338813797, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 1.0510147628279614e-05, 'lamb_h_net': 1.72818411930767e-05, 'grid_size_g_net': 6, 'spline_order_g_net': 2, 'range_limit_g_net': 5, 'mu_1_g_net': 0.6, 'mu_2_g_net': 0.30000000000000004, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 3, 'grid_size_h_net': 9, 'spline_order_h_net': 3, 'range_limit_h_net': 3, 'mu_1_h_net': 0.4, 'mu_2_h_net': 0.4, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 6}. Best is trial 22 with value: 0.1651669442653656.
2025-07-14 09:21:32,160 - INFO - Trial 31 finished with value: 0.17302736639976501 and parameters: {'lr': 0.023389268881939335, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 5.89826310908186e-06, 'lamb_h_net': 1.1955373671114228e-05, 'grid_size_g_net': 5, 'spline_order_g_net': 2, 'range_limit_g_net': 5, 'mu_1_g_net': 0.6, 'mu_2_g_net': 0.30000000000000004, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 3, 'grid_size_h_net': 9, 'spline_order_h_net': 3, 'range_limit_h_net': 3, 'mu_1_h_net': 0.4, 'mu_2_h_net': 0.4, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 6}. Best is trial 22 with value: 0.1651669442653656.
2025-07-14 09:21:50,511 - INFO - Trial 32 finished with value: 0.16582630574703217 and parameters: {'lr': 0.03582580802575805, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 1.2149375068231923e-05, 'lamb_h_net': 1.5758666463146478e-05, 'grid_size_g_net': 6, 'spline_order_g_net': 2, 'range_limit_g_net': 5, 'mu_1_g_net': 0.5, 'mu_2_g_net': 0.2, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 4, 'grid_size_h_net': 9, 'spline_order_h_net': 3, 'range_limit_h_net': 4, 'mu_1_h_net': 0.30000000000000004, 'mu_2_h_net': 0.30000000000000004, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 6}. Best is trial 22 with value: 0.1651669442653656.
2025-07-14 09:22:08,488 - INFO - Trial 33 finished with value: 0.21473369002342224 and parameters: {'lr': 0.038233100239441695, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 1.3178730260303125e-06, 'lamb_h_net': 0.006079498177344754, 'grid_size_g_net': 9, 'spline_order_g_net': 2, 'range_limit_g_net': 4, 'mu_1_g_net': 0.1, 'mu_2_g_net': 0.2, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 4, 'grid_size_h_net': 6, 'spline_order_h_net': 3, 'range_limit_h_net': 4, 'mu_1_h_net': 0.30000000000000004, 'mu_2_h_net': 0.30000000000000004, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 6}. Best is trial 22 with value: 0.1651669442653656.
2025-07-14 09:22:22,449 - INFO - Trial 34 finished with value: 0.3350584805011749 and parameters: {'lr': 0.036806953747676924, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 0.002009414267045107, 'lamb_h_net': 0.02374007413840843, 'grid_size_g_net': 8, 'spline_order_g_net': 2, 'range_limit_g_net': 5, 'mu_1_g_net': 0.5, 'mu_2_g_net': 0.1, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 4, 'grid_size_h_net': 11, 'spline_order_h_net': 3, 'range_limit_h_net': 5, 'mu_1_h_net': 0.1, 'mu_2_h_net': 0.1, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 2}. Best is trial 22 with value: 0.1651669442653656.
